,coordinates,created_at,id,name,text
24,"0,0,0,0",Fri May 20 19:18:46 +0000 2016,733738755257958401,monica jativa gomez,"RT @eMalizio: @ANT_ECUADOR @AMTQuito @MauricioRodasEC Vaca de Castro y Prensa, parquean y bloquean el transito! No hay Control! https://t.c…"
25,"0,0,0,0",Tue May 24 17:39:30 +0000 2016,735163326640988161,AMT Quito,"Dispositivo de Transito para el día de hoy, Martes 24 de Mayo. Sector ""Asamblea Nacional"". @24horasUIO @ecuavisa https://t.co/CsxuRwhGgn"
26,"0,0,0,0",Wed May 25 01:15:11 +0000 2016,735278005560446977,R Castillo,"@AMTQuito colegio de America, Av El Inca, señal de transito irrespetada por no estar visible https://t.co/lMV82A5IdY"
27,"0,0,0,0",Thu Jun 02 19:33:37 +0000 2016,738453534190997505,AMT Quito,"Se registra transito pesado en la AV. Amazonas, sector parque La Carolina. Conduzca con precaución. https://t.co/XqHAZfjhde"
28,"0,0,0,0",Thu Jun 02 19:43:35 +0000 2016,738456043009740801,COE Quito,"RT @AMTQuito: Se registra transito pesado en la AV. Amazonas, sector parque La Carolina. Conduzca con precaución. https://t.co/XqHAZfjhde"
29,"0,0,0,0",Fri May 20 20:46:35 +0000 2016,733760857331601409,TINTA&PAPEL IMPRENTA,"RT @eMalizio: @ANT_ECUADOR @AMTQuito @MauricioRodasEC Otro agente de transito haciendo lo que le da la gana, ejemplo de autoridad! https://…"
30,"0,0,0,0",Fri May 20 20:46:42 +0000 2016,733760885781614593,TINTA&PAPEL IMPRENTA,"RT @eMalizio: @ANT_ECUADOR @AMTQuito @MauricioRodasEC Vaca de Castro y Prensa, parquean y bloquean el transito! No hay Control! https://t.c…"
31,"[[[-78.948466, -0.588618], [-78.948466, 0.255477], [-78.164897, 0.255477], [-78.164897, -0.588618]]]",Fri Jun 03 18:58:41 +0000 2016,738807134360612864,SORAYA RUEDA,@AMTQuito x favor envíen Agentes calle Alberto Einstein/Carcelen parquean doble sentido toman en la vía imposible el transito ayuden
32,"[[[-81.328148, -18.349728], [-81.328148, -0.03884], [-68.673088, -0.03884], [-68.673088, -18.349728]]]",Sun May 15 16:21:24 +0000 2016,731882181329616896,Rossy Morales,"@valiabarak 
#ATROPELLO y #VULNERACION DERECHOS a #LIBRE TRANSITO comete c/ semana #MUNIC SAN BORJA , c/ #DOMINGO 1 #LOCURA  x CARRERAS"
33,"[[[-92.008973, -5.013285], [-92.008973, 1.681834], [-75.192627, 1.681834], [-75.192627, -5.013285]]]",Sun May 15 14:18:28 +0000 2016,731851244306870273,D.A. Yepez Barona.,@PAEecuador como puede ser justo algo asi? frente al centro de detencion infractores de transito en Calderon https://t.co/a7KCS2YGj4
34,"[[[-81.328148, -18.349728], [-81.328148, -0.03884], [-68.673088, -0.03884], [-68.673088, -18.349728]]]",Sat May 14 01:39:00 +0000 2016,731297729717125120,Perú Opiniòn,"Inaceptable obstruccion al transito en plena via publica en El Agustino,, una cosa es inseguridad, otra cosa es desconsideración"
35,"[[[-78.948466, -0.588618], [-78.948466, 0.255477], [-78.164897, 0.255477], [-78.164897, -0.588618]]]",Tue May 10 13:01:01 +0000 2016,730019813221933056,luchasiempre,"@AMTQuito por favor pongan agentes que ""tengan criterio de transito"" son un caos en el ciclista https://t.co/7fMcmp8Tz2"
36,"[[[-92.008973, -5.013285], [-92.008973, 1.681834], [-75.192627, 1.681834], [-75.192627, -5.013285]]]",Mon May 30 20:17:31 +0000 2016,737377422266470400,pedrolo,@ALEXANDRAESTELA Detenido vehículo  pdte ECUARUNARI Carlos Pérez G por Agentes transito aduciendo no tener papales regla..Jaja q lo guarden
37,"0,0,0,0",Sat May 21 01:24:58 +0000 2016,733830913671434244,Isabel Alarcon,@AMTQuito algun accidente por la brasil y carvajal? Hay demasiado trafico en la zona
38,"[[[-78.948466, -0.588618], [-78.948466, 0.255477], [-78.164897, 0.255477], [-78.164897, -0.588618]]]",Mon May 16 04:13:49 +0000 2016,732061465604198400,Iveth Venegas,"Entre choque de miradas, una sonrisa es el mejor accidente 🙄#smile https://t.co/BrRLY2mW6T"
39,"[[[-81.328148, -18.349728], [-81.328148, -0.03884], [-68.673088, -0.03884], [-68.673088, -18.349728]]]",Mon May 09 20:02:04 +0000 2016,729763385626202112,Peru.com Perú,#Lima: mujer queda atrapada en auto tras cuádruple choque vehicular #VIDEO https://t.co/1FjfPZvPH5 https://t.co/76fSp2RlkS
40,"[[[-81.328148, -18.349728], [-81.328148, -0.03884], [-68.673088, -0.03884], [-68.673088, -18.349728]]]",Fri May 27 02:10:50 +0000 2016,736016785875578880,❁,"Entre un choque de miradas, una sonrisa es el mejor accidente. https://t.co/1uz3BYMo8C"
41,"0,0,0,0",Fri May 20 18:31:49 +0000 2016,733726943166763010,pilasmauri,"RT @eMalizio: @ANT_ECUADOR @AMTQuito @MauricioRodasEC Vaca de Castro y Prensa, parquean y bloquean el transito! No hay Control! https://t.c…"
42,"0,0,0,0",Fri May 20 18:35:52 +0000 2016,733727958955921408,Eduardo Taco,"RT @eMalizio: @ANT_ECUADOR @AMTQuito @MauricioRodasEC Vaca de Castro y Prensa, parquean y bloquean el transito! No hay Control! https://t.c…"
43,"0,0,0,0",Fri May 20 18:57:08 +0000 2016,733733311705718784,Francisco V,"RT @eMalizio: @ANT_ECUADOR @AMTQuito @MauricioRodasEC Vaca de Castro y Prensa, parquean y bloquean el transito! No hay Control! https://t.c…"
44,"0,0,0,0",Fri May 20 19:04:47 +0000 2016,733735236106850304,Edison Pérez,"RT @eMalizio: @ANT_ECUADOR @AMTQuito @MauricioRodasEC Otro agente de transito haciendo lo que le da la gana, ejemplo de autoridad! https://…"
45,"0,0,0,0",Fri May 20 19:19:04 +0000 2016,733738834429673472,monica jativa gomez,"RT @eMalizio: @ANT_ECUADOR @AMTQuito @MauricioRodasEC Otro agente de transito haciendo lo que le da la gana, ejemplo de autoridad! https://…"
46,"0,0,0,0",Thu May 19 21:58:50 +0000 2016,733416651325120513,Marcelo Macas,"@AMTQuito buenas tardes tuve un percance de transito, necesito liberar mi auto, un defensor publico me puede ayudar?"
47,"0,0,0,0",Thu Jun 02 18:03:59 +0000 2016,738430978918617089,Byron Zhegu,"@AMTQuito Buenas tardes señores AMT queria saber cuando se abrira el proceso de seleccion para agente de transito !

Gracias"
48,"0,0,0,0",Fri Jun 03 14:48:00 +0000 2016,738744045032353792,AMT Quito,"Estimado @marcovsa11 gracias por su informe, se gestionará personal al punto para que ayude en el transito."
49,"[[[-92.008973, -5.013285], [-92.008973, 1.681834], [-75.192627, 1.681834], [-75.192627, -5.013285]]]",Sun May 15 14:27:41 +0000 2016,731853564985872384,D.A. Yepez Barona.,Vinicio Paredes y cuarta transversal OE4-216 frente centro de detencion de infractores transito por favor rescaten https://t.co/SHZ9df3QyA
50,"[[[-92.008973, -5.013285], [-92.008973, 1.681834], [-75.192627, 1.681834], [-75.192627, -5.013285]]]",Mon May 30 20:18:05 +0000 2016,737377563602001920,pedrolo,@lucero_cecilia Detenido vehículo pdte ECUARUNARI Carlos Pérez G por Agentes transito aduciendo no tener papales regla..Jajaja q lo guarden
51,"0,0,0,0",Tue May 24 17:16:49 +0000 2016,735157618621198337,Junior Mendoza,@AMTQuito por favor capacitar mas a los agentes de transito que andan en las motos parecieran que andan en el GP1 por la ciudad @daritapia
52,"0,0,0,0",Tue May 24 17:41:56 +0000 2016,735163937960939520,MT Operaciones Quito,"RT @AMTQuito: Dispositivo de Transito para el día de hoy, Martes 24 de Mayo. Sector ""Asamblea Nacional"". @24horasUIO @ecuavisa https://t.co…"
53,"[[[-81.328148, -18.349728], [-81.328148, -0.03884], [-68.673088, -0.03884], [-68.673088, -18.349728]]]",Mon May 16 04:17:28 +0000 2016,732062385893056512,Alfonso Mendoza Maga,"CARROS VIEJOS PARA CAMBIAR EL TIMÓN A LA IZQUIERDA, CONTAMINARON EL AMBIENTE Y SATURARON EL TRANSITO CON BASURA TRAÍDA DE JAPÓN-GOMI"
54,"[[[-81.328148, -18.349728], [-81.328148, -0.03884], [-68.673088, -0.03884], [-68.673088, -18.349728]]]",Sun May 15 19:08:05 +0000 2016,731924127464853504,Alfonso Mendoza Maga,"ELLOS TRAJERO AL PERU EL GOMI-BASURA DE JAPÓN, Y TE ESTAFARON, CONTAMINARON EL AIRE Y SATURARON EL TRANSITO VEHICULA https://t.co/nHSVgy7Lcw"
55,"[[[-81.328148, -18.349728], [-81.328148, -0.03884], [-68.673088, -0.03884], [-68.673088, -18.349728]]]",Sun May 15 18:21:30 +0000 2016,731912405924483072,Alfonso Mendoza Maga,"TAXISTA: ELLOS TE VENDEN CARROS DEL AÑO, NO CONTAMINAN EL AIRE, Y CON ELLOS EL TRANSITO SERA DIFERENTE, SI SABEN https://t.co/MG3fvZPHVJ"
56,"[[[-81.328148, -18.349728], [-81.328148, -0.03884], [-68.673088, -0.03884], [-68.673088, -18.349728]]]",Sun May 15 18:10:14 +0000 2016,731909569102807040,Alfonso Mendoza Maga,"TAXISTA: ELLOS TE VENDIERON BASURA EN LA DÉCADA DEL 90, SATURARON EL TRANSITO Y CONTAMINARON EL AMBIENTE LIMEÑO https://t.co/cbXNEgycdu"
57,"[[[-92.008973, -5.013285], [-92.008973, 1.681834], [-75.192627, 1.681834], [-75.192627, -5.013285]]]",Mon May 30 20:14:33 +0000 2016,737376673545457664,pedrolo,@pameaguirre1 Detenido vehículo de pdte ECUARUNARI Carlos Pérez G por Agentes transito aduciendo no tener papales regla..Jajaja q lo guarden
58,"[[[-92.008973, -5.013285], [-92.008973, 1.681834], [-75.192627, 1.681834], [-75.192627, -5.013285]]]",Mon May 30 20:19:23 +0000 2016,737377891223277569,pedrolo,@FabricioECRC Detenido vehículo de pdte ECUARUNARI Carlos Pérez G por Agentes transito aduciendo no tener papales regla..Jajaja q lo guarden
59,"[[[-92.008973, -5.013285], [-92.008973, 1.681834], [-75.192627, 1.681834], [-75.192627, -5.013285]]]",Mon May 30 20:21:20 +0000 2016,737378383026393092,pedrolo,@VivianAssange Detenido vehículo de pdte ECUARUNARI Carlos Pérez G por Agentes transito aduciendo no tener papales regla..Jajaj q lo guarden
60,"[[[-92.008973, -5.013285], [-92.008973, 1.681834], [-75.192627, 1.681834], [-75.192627, -5.013285]]]",Mon May 30 20:22:29 +0000 2016,737378672181678080,pedrolo,@NoTCreoLasso Detenido vehículo de pdte ECUARUNARI Carlos Pérez G por Agentes transito aduciendo no tener papales regla..Jajaja q lo guarden
61,"[[[-81.328148, -18.349728], [-81.328148, -0.03884], [-68.673088, -0.03884], [-68.673088, -18.349728]]]",Sun May 15 17:35:55 +0000 2016,731900933685137409,Alfonso Mendoza Maga,"ESTOS CARROS VIEJOS QUE TRAJO FUJIMORI, HAN CONTAMINADO EL HAMBIENTE Y HAN SATURADO EL TRAFICO VEHICULAR, ES VERDADA https://t.co/Irj9du7X0a"
62,"0,0,0,0",Thu May 26 23:17:10 +0000 2016,735973080917512193,☆♡GaBy Portilla♡☆,@AMTQuito @BelenAizaga1  creo q ustedes como AMT deben tomar medidas en contra de la gente q no respeta las leyes fe transito
